10000,2,2501
4,46,70,16,35,5,23,31,16,6,20,17,30,76,35,6,6,23,27,86,28,18,9,5,32,12,30,5,47,57,13,17,4,7,14,18,13,10,36,83,7,14,18,12,20,14,46,4,12,25,31,10,10,38,14,30,19,68,18,19,25,11,16,25,19,34,45,23,69,14,12,26,17,15,28,7,18,8,26,27,7,51,37,12,8,27,8,7,8,11,28,14,13,24,39,53,44,43,28,31
10000,2,2501
4,46,70,16,35,5,23,31,16,6,20,17,30,76,35,6,6,23,27,86,28,18,9,5,32,12,30,5,47,57,13,17,4,7,14,18,13,10,36,83,7,14,18,12,20,14,46,4,12,25,31,10,10,38,14,30,19,68,18,19,25,11,16,25,19,34,45,23,69,14,12,26,17,15,28,7,18,8,26,27,7,51,37,12,8,27,8,7,8,11,28,14,13,24,39,53,44,43,28,31
10000,2,2501
11,46,70,16,18,3,23,13,10,20,20,10,31,75,26,8,4,22,27,58,14,15,8,39,29,13,19,5,46,32,16,10,7,16,8,17,9,10,9,11,9,5,5,47,20,13,8,20,10,10,10,12,9,32,16,27,29,23,33,9,20,12,14,17,19,11,30,31,8,17,15,17,37,13,7,43,7,8,17,32,11,24,27,12,26,6,16,8,6,16,24,13,13,25,12,39,28,29,27,33
