lam_1,true_lam,CL_param
0.5,0.6,6.247084
0.6,0.6,5.066498
0.8,0.6,4.851801
0.9,0.6,5.890763
0.5,0.8,6.247084
0.6,0.8,5.066498
0.8,0.8,4.851801
0.9,0.8,5.890763
0.5,0.5,6.247084
0.6,0.5,5.066498
0.8,0.5,4.851801
0.9,0.5,5.890763
0.5,0.9,6.247084
0.6,0.9,5.066498
0.8,0.9,4.851801
0.9,0.9,5.890763
